Parcela;Especie;DAP
16;Xylosma ciliatifolia;13,71915609
16;Allophylus guaraniticus;11,4591559
16;Duranta vestita;8,795092817
16;Jacaranda puberula;4,997465213
16;Casearia decandra;6,759720956
16;Casearia decandra;6,366197724
16;Myrsine umbellata;8,05324012
16;Xylosma ciliatifolia;6,68450761
16;Casearia decandra;7,260605941
16;Roupala montana;10,72704316
16;Lithraea brasiliensis;9,612958563
16;Allophylus guaraniticus;5,920563883
16;Jacaranda puberula;10,82253613
16;Jacaranda puberula;12,65456956
16;Casearia decandra;20,05352283
16;Casearia decandra;6,047887837
17;Araucaria angustifolia;26,2923966
17;Matayba elaeagnoides;27,53380515
17;Ocotea pulchella;16,20197321
17;Jacaranda puberula;6,780000576
17;Jacaranda puberula;10,15408537
17;Lithraea brasiliensis;39,91651663
17;Jacaranda puberula;9,708451529
17;Jacaranda puberula;15,18338157
17;Myrsine umbellata;9,581127574
17;Araucaria angustifolia;6,238873769
17;Prunus myrtifolia;5,315775099
17;Jacaranda puberula;15,56535343
17;Jacaranda puberula;10,8966638
17;Jacaranda puberula;14,06929697
17;Myrsine coriacea;21,35256787
17;Jacaranda puberula;12,79605742
17;Zanthoxylum kleinii;7,543944303
17;Jacaranda puberula;8,212395064
17;Araucaria angustifolia;8,339719018
17;Jacaranda puberula;6,398028712
17;Myrsine umbellata;8,244226052
17;Duranta vestita;5,793239929
17;Myrsine umbellata;8,97633879
17;Zanthoxylum kleinii;26,66430068
17;Zanthoxylum kleinii;17,79352264
17;Araucaria angustifolia;6,90732453
17;Matayba elaeagnoides;6,238873769
17;Jacaranda puberula;10,91204174
17;Jacaranda puberula;5,952394872
17;Jacaranda puberula;17,22056484
17;Jacaranda puberula;11,84112777
17;Myrsine umbellata;19,64064857
17;Ocotea pulchella;11,10901503
17;Lithraea brasiliensis;9,612958563
17;Zanthoxylum kleinii;6,843662553
17;Jacaranda puberula;6,748169587
17;Casearia obliqua;16,20197321
17;Myrsine umbellata;5,252113122
17;Jacaranda puberula;6,429859701
17;Jacaranda puberula;5,856901906
17;Jacaranda puberula;6,970986507
17;Zanthoxylum kleinii;12,76422644
17;Jacaranda puberula;6,875493542
17;Jacaranda puberula;5,920563883
17;Jacaranda puberula;6,175211792
17;Lithraea brasiliensis;21,95611518
17;Jacaranda puberula;12,82788841
17;Calyptranthes concinna;7,82259093
